State,City,Camp Name (JSON),Event Details (CSV),Matched
pennsylvania,Pittsburgh,Nike Girls Soccer Camp at The Ellis School,Nike Girls Soccer Camp at The Ellis School,True
pennsylvania,Reading,Nike Soccer Camp at Albright College,Nike Soccer Camp at Albright College,True
pennsylvania,Ridley Park,Nike Soccer Camp with Beestera Soccer Training - Ridley Park,Nike Soccer Camp with Beestera Soccer Training - Ridley Park,True
pennsylvania,Wayne,Nike Soccer Camp with Beestera Soccer Training - Tredyffrin,Nike Soccer Camp with Beestera Soccer Training - Tredyffrin,True
pennsylvania,West Chester,Nike Soccer Camp at Westtown School,Nike Soccer Camp at Westtown School,True
pennsylvania,Wilkes-Barre Township,Nike Soccer Camp with Back Mountain Surf - Wilkes-Barre,Nike Soccer Camp with Back Mountain Surf - Wilkes-Barre,True
rhode-island,Middletown,Nike Soccer Camp with Next Step Training - St. George's School in Newport,Nike Soccer Camp with Next Step Training - St. George's School in Newport,True
rhode-island,Woonsocket,Nike Soccer Camp with Next Step Training - Woonsocket,Nike Soccer Camp with Next Step Training - Woonsocket,True
south-carolina,Fort Mill,Nike Soccer Camp in Fort Mill,Nike Soccer Camp in Fort Mill,True
south-carolina,Greenville,Nike Soccer Camp North Greenville University,Nike Soccer Camp North Greenville University,True
south-carolina,Wellford,Nike Soccer Camp in Wellford,Nike Soccer Camp in Wellford,True
south-dakota,Sioux Falls,Nike Soccer Camp in Sioux Falls,Nike Soccer Camp in Sioux Falls,True
tennessee,Memphis,Nike Soccer Camp with Prospect Soccer Academy - Memphis,Nike Soccer Camp with Prospect Soccer Academy - Memphis,True
tennessee,Mt. Juliet,Nike Soccer Camp with Beestera Soccer Training - Mt. Juliet,Nike Soccer Camp with Beestera Soccer Training - Mt. Juliet,True
tennessee,Nashville,Nike Soccer Camp at Christ Presbyterian Academy,Nike Soccer Camp at Christ Presbyterian Academy,True
tennessee,Thompson's Station,Nike Soccer Camp with Beestera Soccer Training - Thompson's Station,Nike Soccer Camp with Beestera Soccer Training - Thompson's Station,True
texas,Arlington,Nike Soccer Camp at Upper 90 - Forth Worth/Arlington,Nike Soccer Camp at Upper 90 - Forth Worth/Arlington,True
texas,Austin,Nike Soccer Camp in Westlake - Austin,Nike Soccer Camp in Westlake - Austin,True
